claim_id,split,annotator,Výrok jsem hodnotil(a) já,Vyhledávání zdrojů,"Chybí dostatečné zdroje, na základě kterých lze výrok hodnotit.","Je potřeba dalších kontextových zdrojů (k přiblížení tématu), ale nejsou dohledány.",V textu chybí některý klíčový zdroj.,Nalezené zdroje se netýkají výhradně ověřovaného tématu (odbíhají od tématu).,"K hodnocení výroku je více dohledatelných zdrojů, ale v textu jsou uvedeny méně než dva.","Je možné dohledat primární zdroje, ale nejsou dohledány (jsou použity pouze sekundární).","Text využívá sekundární zdroje a neupřednostňuje důvěryhodná, zejm. veřejnoprávní média (vč. ČTK).","Zdroje za paywallem jsou v textu použity i v případech, kdy o tématu pojednává jiný dostupný zdroj.","Jsou k dispozici srovnatelné české i zahraniční zdroje, ale nejsou upřednostněny ty české.","Odkaz na zdroj není správný nebo dostatečně konkrétní, aby zdroj bylo možné rychle zkontrolovat (např. chybí strana u dlouhého PDF).","Odůvodnění nepoužívá nejaktuálnější zdroje dostupné z doby před datem, kdy zazněl ověřovaný výrok.","Pravdivost se hodnotí na základě zdroja, který je novější než datum, kdy zazněl ověřovaný výrok.","Jsou zdrojována i obecně známá fakta (např. kdo je prezident), která to nevyžadují.",Prezentace zdrojů,Z některého zdroje je chybně citována relevantní informace (text odůvodnění neodpovídá informacím ze zdroje).,"Text si vymýšlí informace, které ve zdrojích nejsou.",Názorová vyjádření ze zdroje (zejm. ta od politiků) jsou prezentována jako fakta.,"Výstup se odvolává na slova experta, ale není v něm uvedeno, že je daná informace „podle XY“.","Informace z více zdrojů se odlišují, ale text nevysvětluje proč.","Zdroj obsahuje chyby, které výstup neopravuje ani neuvádí na pravou míru.","Informace se od publikace zdroje změnily, ale text to čtenáři nedává najevo (např. chybí „tehdejší premiér“).",Odkaz na zdroj v texte neodpovídá požadavkům a standardům Demagog.cz (např. je až za větou).,Výklad metodického postupu,"Je třeba prezentovat rozumné interpretace výroku, ale výstup je v úvodu neuvádí.","Existuje více rozumných interpretací, ale výstup neověřuje všechny.","Kontext je relevantní pro pochopení výroku, ale výstup jej v úvodu vhodně nepředstavuje.","Jde o složité téma, ale výstup jej v úvodu vhodně nepředstavuje.",Výstup nevhodně či nelogicky konfrontuje tvrzení z výroku a informace ze zdroje.,"Výstup prezentuje vlastní expertní analýzu (např. vysvětluje procesy jinak, než jak uvádí citace zdrojů).","Výstup je delší nebo vychází z více zdrojů, ale neprezentuje průběžné závěry.",V závěru výstup nevhodně shrnuje nebo neshrnuje argumentaci.,Hodnocení výroku je nejednoznačné.,Hodnocení není v závěru dostatečně vysvětlené.,"Hodnocení je založené na banálních nepřesnostech, nikoli na podstatném obsahu výroku.",Čtivost a věcná souvislost textu:,Text je nevhodně rozdělený na odstavce nebo odstavce obsahují více témat zároveň.,"Jednotlivé odstavce na sebe logicky nenavazují, informace přeskakují nebo text není plynulý.","Odstavce nemají správnou délku (jsou buď ultra krátké, nebo příliš dlouhé a nepřehledné).",Informace v jednotlivých odstavcích si navzájem odporují.,Důležité interpretační informace se v textu nevyskytují na začátku (kontext je předřazen interpretaci).,Úvodní odstavec čtenáře nevtáhne do tématu odůvodnění.,"Kontextové odstavce neprezentují relevantní kontext, který by byl pro čtenáře zajímavý.","V textu je uveden nepodstatný kontext a není jasné, proč je tam umístěný.",Některé odstavce v odůvodnění neplní žádný účel.,Jazyk výstupu není neutrální nebo zní zaujatě.,Jazyk výstupu je emocionálně zabarvený.,Použitý jazyk není srozumitelný pro běžného čtenáře.,Jsou použity příliš složité či odborné výrazy bez dalšího vysvětlení.,Celkové hodnocení,"Vše bez problémů, s hrdostí zveřejnitelné.","Zveřejnitelné beze změn, ale bylo by vhodné provést úpravy.",Zveřejnitelné po zásadnějších změnách.,"Nezveřejnitelné, ale ušetřilo to lidskému fact-checkerovi nějaký čas.","Pro lidského fact-checkera by bylo lepší, kdyby to neexistovalo. Čtením ztratil víc času, než mu to ušetřilo."
24339,old,Annotator 2,0,,1,1,1,0,0,0,1,0,0,0,1,1,0,,0,0,0,0,0,0,0,,1,0,1,1,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1,1,1,0
24340,old,Annotator 1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1
24340,old,Annotator 2,1,,1,1,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,,1,0,1,1,1,1,0,0,0,1,0,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,,1,1,1,1,0
24341,old,Annotator 1,0,,1,1,1,0,1,1,1,1,1,1,1,1,0,,0,0,0,1,1,1,1,,1,0,1,1,1,0,0,1,1,1,1,1,,0,0,0,0,1,1,1,1,0,0,0,1,1,,1,1,1,0,1
24341,old,Annotator 2,1,,1,1,1,0,0,1,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,,1,0,1,1,1,0,0,0,1,1,0,0,,0,0,0,0,0,1,1,0,0,0,0,1,1,,1,1,1,0,1
24342,old,Annotator 2,1,,0,0,0,0,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,1,1,,1,1,0,1,1
24345,old,Annotator 1,1,,1,1,1,0,0,1,0,1,0,0,1,0,0,,1,1,0,0,0,0,1,,0,0,1,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,0,0,0,1,1,,1,1,0,1,1
24346,old,Annotator 1,1,,0,1,0,0,0,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0,1,1,1
24364,old,Annotator 1,1,,1,0,1,0,0,1,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,,1,0,1,0,0,0,0,0,0,1,1,0,,0,0,1,0,0,1,0,0,0,0,0,0,0,,1,0,1,1,1
24364,old,Annotator 2,1,,1,0,1,0,1,1,0,0,0,0,1,0,0,,1,1,0,0,0,0,0,,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,,1,1,0,1,1
24365,old,Annotator 2,1,,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,,1,1,0,1,1
24366,old,Annotator 2,1,,1,1,1,0,1,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,,1,0,1,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,1,0,,1,1,1,1,0
24367,old,Annotator 1,1,,1,0,1,0,0,1,0,0,0,1,1,0,0,,1,0,0,0,0,0,1,,1,1,1,0,1,1,0,0,0,0,0,1,,0,0,1,0,0,0,1,1,0,0,0,0,1,,1,1,0,1,1
24412,old,Annotator 1,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,1,1
24412,old,Annotator 2,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,1
24413,old,Annotator 1,1,,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,1,1
24413,old,Annotator 2,1,,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,0,1,1
