domain,tier,note
csu.gov.cz,1,Czech Statistical Office — primary source for Czech statistics
czso.cz,1,Czech Statistical Office (alt domain)
psp.cz,1,Parliament of the Czech Republic — legislation and stenographs
senat.cz,1,Senate of the Czech Republic
zakonyprolidi.cz,1,Legislation database — cite with specific paragraph
mfcr.cz,1,Ministry of Finance
vlada.cz,1,Government of the Czech Republic
nku.cz,1,Supreme Audit Office
volby.cz,1,Official election results — always use for elections
eurostat.ec.europa.eu,1,Eurostat — EU statistics
ec.europa.eu,1,European Commission
justice.cz,1,Ministry of Justice / courts
usoud.cz,1,Constitutional Court
mpsv.cz,1,Ministry of Labour and Social Affairs
mvcr.cz,1,Ministry of the Interior
uzis.cz,1,Institute of Health Information and Statistics
chmi.cz,1,Czech Hydrometeorological Institute
irozhlas.cz,1,Czech Radio (public broadcasting)
ct24.ceskatelevize.cz,1,Czech Television (public broadcasting)
ceskatelevize.cz,1,Czech Television (public broadcasting)
ceskenoviny.cz,1,CTK / Czech News Agency
seznamzpravy.cz,2,Commercial news — higher quality
aktualne.cz,2,Commercial news — higher quality
respekt.cz,2,Weekly — higher quality
hn.cz,2,Hospodarske noviny — business news
e15.cz,3,Business news
denik.cz,3,Regional newspaper
idnes.cz,3,Commercial news portal
novinky.cz,3,Commercial news portal
tn.cz,3,Commercial news (TV Nova)
faei.cz,3,Business news
mesec.cz,3,Personal finance portal
kurzy.cz,3,Financial portal
echo24.cz,4,Opinion-heavy — avoid if possible
press1.cz,4,Media news — secondary
forum24.cz,5,Opinion site — NEVER USE
blesk.cz,5,Tabloid — NEVER USE
aha.cz,5,Tabloid — NEVER USE
parlamentnilisty.cz,5,Unreliable — NEVER USE
wikipedia.org,5,Encyclopedia — NEVER USE as source (use to find primary sources)
demagog.cz,5,Self-reference — NEVER CITE
fveinfo.cz,5,Niche energy portal — unreliable
tiscali.cz,5,Unreliable portal
xstreet.cz,5,Unreliable portal
